system:index,LC08_140055_20130519,LC08_140055_20130604,LC08_140055_20130620,LC08_140055_20130706,LC08_140055_20130807,LC08_140055_20130823,LC08_140055_20130908,LC08_140055_20130924,LC08_140055_20131010,LC08_140055_20131026,LC08_140055_20131111,LC08_140055_20131213,LC08_140055_20131229,LC08_140055_20140114,LC08_140055_20140130,LC08_140055_20140215,LC08_140055_20140303,LC08_140055_20140404,LC08_140055_20140420,LC08_140055_20140506,LC08_140055_20140522,LC08_140055_20140607,LC08_140055_20140623,LC08_140055_20140709,LC08_140055_20140725,LC08_140055_20140810,LC08_140055_20140826,LC08_140055_20140911,LC08_140055_20140927,LC08_140055_20141013,LC08_140055_20141029,LC08_140055_20141114,LC08_140055_20141130,LC08_140055_20141216,LC08_140055_20150101,LC08_140055_20150117,LC08_140055_20150202,LC08_140055_20150218,LC08_140055_20150306,LC08_140055_20150322,LC08_140055_20150407,LC08_140055_20150423,LC08_140055_20150509,LC08_140055_20150525,LC08_140055_20150610,LC08_140055_20150626,LC08_140055_20150712,LC08_140055_20150728,LC08_140055_20150813,LC08_140055_20150829,LC08_140055_20150914,LC08_140055_20150930,LC08_140055_20151016,LC08_140055_20151101,LC08_140055_20151117,LC08_140055_20151203,LC08_140055_20160104,LC08_140055_20160120,LC08_140055_20160205,LC08_140055_20160221,LC08_140055_20160308,LC08_140055_20160324,LC08_140055_20160409,LC08_140055_20160425,LC08_140055_20160527,LC08_140055_20160612,LC08_140055_20160628,LC08_140055_20160714,LC08_140055_20160730,LC08_140055_20160815,LC08_140055_20160831,LC08_140055_20160916,LC08_140055_20161002,LC08_140055_20161018,LC08_140055_20161103,LC08_140055_20161205,LC08_140055_20161221,LC08_140055_20170106,LC08_140055_20170207,LC08_140055_20170223,LC08_140055_20170311,LC08_140055_20170327,LC08_140055_20170412,LC08_140055_20170428,LC08_140055_20170514,LC08_140055_20170530,LC08_140055_20170615,LC08_140055_20170701,LC08_140055_20170717,LC08_140055_20170802,LC08_140055_20170818,LC08_140055_20170919,LC08_140055_20171005,LC08_140055_20171021,LC08_140055_20171106,LC08_140055_20171122,LC08_140055_20171208,LC08_140055_20171224,LC08_140055_20180109,LC08_140055_20180125,LC08_140055_20180210,LC08_140055_20180226,LC08_140055_20180314,LC08_140055_20180330,LC08_140055_20180501,LC08_140055_20180602,LC08_140055_20180618,LC08_140055_20180704,LC08_140055_20180720,LC08_140055_20180805,LC08_140055_20180821,LC08_140055_20180906,LC08_140055_20180922,LC08_140055_20181008,LC08_140055_20181024,LC08_140055_20181125,LC08_140055_20181211,LC08_140055_20181227,LC08_140055_20190128,LC08_140055_20190213,LC08_140055_20190301,LC08_140055_20190317,LC08_140055_20190402,LC08_140055_20190418,LC08_140055_20190504,LC08_140055_20190520,LC08_140055_20190605,LC08_140055_20190621,LC08_140055_20190707,LC08_140055_20190723,LC08_140055_20190808,LC08_140055_20190824,LC08_140055_20190909,LC08_140055_20190925,LC08_140055_20191112,LC08_140055_20191214,LC08_140055_20191230,LC08_140055_20200115,LC08_140055_20200131,LC08_140055_20200216,LC08_140055_20200303,LC08_140055_20200319,LC08_140055_20200404,LC08_140055_20200420,LC08_140055_20200506,LC08_140055_20200522,LC08_140055_20200623,LC08_140055_20200709,LC08_140055_20200725,LC08_140055_20200810,LC08_140055_20200826,LC08_140055_20200911,LC08_140055_20200927,LC08_140055_20201013,LC08_140055_20201029,LC08_140055_20201114,LC08_140055_20201130,LC08_140055_20201216,LC08_140055_20210117,LC08_140055_20210202,LC08_140055_20210218,LC08_140055_20210306,LC08_140055_20210322,farm_id,.geo
LC08_140055_20130519_0,0.58,0.82,-1,-1,0.45,0.25,0.31,0.24,0.25,0.18,-1,-1,0.87,-1,-1,0.55,-1,0.24,0.22,-1,-1,0.82,0.84,-1,0.66,-1,-1,0.18,0.17,-1,-1,0.78,0.74,-1,0.88,-1,0.39,-1,0.44,-1,-1,-0.17,-1,-1,0.84,0.88,-1,-1,0.32,-1,-1,-1,0.4,-1,0.23,0.3,-1,0.85,-1,-1,-1,-1,0.31,0.07,0.45,0.78,-1,0.84,-1,0.48,0.28,0.2,0.26,0.27,0.12,-1,-1,0.88,0.79,0.3,0.3,-1,-1,0.2,0.25,-1,-1,-1,0.36,0.32,-1,0.23,-1,0.19,-1,-1,-1,-1,-1,0.61,-1,0.23,0.29,-1,0.02,0.78,-1,0.87,-1,-1,0.28,0.2,0.26,-1,-1,0.44,-1,0.91,-1,0.62,-1,-1,0.21,0.19,-1,0.8,0.85,0.86,0.84,0.64,-1,-1,0.28,-1,0.72,0.86,-1,-1,0.27,-1,0.22,0.23,-0.12,0.22,-1,0.88,-1,0.7,-1,-1,0.23,-1,0.23,0.22,0.16,-1,-1,0.89,-1,-1,0.35,-1,0.26,1,"{""type"":""Point"",""coordinates"":[81.82800799255372,7.324442435219899]}"
LC08_140055_20130519_1,0.3,0.73,-1,-1,0.57,0.25,-1,0.3,0.29,0.45,-1,-1,0.86,-1,-1,0.73,0.4,0.24,0,-1,-1,0.85,0.86,-1,0.56,-1,-1,0.27,0.2,0.26,-1,0.28,0.52,-1,-1,0.89,0.7,0.29,0.31,-1,-1,-0.04,-1,-1,0.79,0.87,0.85,-1,0.47,0.2,-1,-1,0.37,-1,-0.16,0.24,-1,0.9,-1,-1,-1,-1,0.22,0.06,0.22,0.61,-1,0.84,-1,0.52,0.28,0.22,0.27,0.26,-1,0.03,0.7,0.86,0.87,-1,-1,-1,-1,0.05,0.14,-1,-1,-1,0.8,0.72,-1,0.28,0.19,0.21,-1,-1,-1,-1,0.88,-1,-1,0.33,-1,0.27,0.36,-1,-1,0.41,-1,-1,0.3,0.29,0.31,-1,-1,-1,-1,-1,-1,0.71,-1,-1,-1,0.36,-1,0.13,0.8,0.86,0.87,-1,-1,-1,0.3,-1,-1,-1,0.87,-1,0.56,-1,0.25,-1,0.04,0.18,-1,0.8,-1,0.7,-1,-1,-1,-1,0.24,0.2,0.16,-1,-1,0.85,-1,-1,-1,0.27,0.28,2,"{""type"":""Point"",""coordinates"":[81.83195620422364,7.323846522563182]}"
LC08_140055_20130519_2,-0.05,0.67,-1,-1,0.56,0.25,-1,0.24,0.25,0.07,-1,-1,0.83,-1,-1,0.66,-1,0.21,-0.01,-1,-1,0.82,0.85,-1,0.59,-1,-1,-1,0.2,0.29,-1,0.3,-1,0.82,0.85,0.84,0.62,-1,0.29,-1,0.32,0.17,-1,-1,0.78,0.85,0.86,-1,0.53,0.19,-1,-1,0.39,-1,0,0.3,-1,-1,-1,-1,0.29,-1,0.25,0.08,0.21,0.53,-1,0.84,-1,0.59,0.28,0.23,0.28,0.29,-1,-1,-1,0.85,-1,-1,-1,-1,-1,0.06,0.02,-1,-1,-1,0.79,0.68,-1,0.3,0.31,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.39,-1,-1,0.6,-1,-1,0.42,0.39,0.33,-1,-1,-1,-1,-1,0.88,0.74,-1,-1,-1,0.22,-1,0.23,0.75,0.75,0.88,0.79,-1,-1,0.29,-1,-1,-1,0.9,-1,0.55,-1,0.22,0.22,-0.13,-1,-1,0.84,-1,0.74,-1,-1,-1,-1,0.25,0.21,0.21,-1,-1,0.85,-1,-1,-1,0.22,0.26,3,"{""type"":""Point"",""coordinates"":[81.82981043701173,7.328698931024706]}"
LC08_140055_20130519_3,0.55,0.83,-1,-1,0.56,0.29,0.31,0.2,0.21,0.09,-1,-1,0.82,-1,-1,-1,0.3,0.24,0.28,-1,-1,0.77,0.84,-1,0.69,-1,-1,0.24,0.25,-1,-1,0.31,0.46,-1,0.7,-1,0.64,-1,0.35,-1,0.25,0,-1,-1,0.84,0.88,0.83,-1,0.42,0.26,-1,-1,-1,-1,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-0.2,0.24,0.45,-1,0.81,-1,0.58,0.34,0.26,0.31,0.34,0.12,-1,-1,0.86,0.88,-1,0.48,-1,-1,-1,0.22,-1,-1,-1,0.34,0.28,-1,0.32,-1,0.23,-1,-1,-1,-1,0.87,-1,-1,0.34,-1,-1,0.16,0.76,0.87,0.88,-1,-1,0.28,0.22,0.26,-1,-1,0.08,-1,0.55,-1,0.7,-1,-1,0.44,0.41,-1,0.65,0.79,0.84,0.89,0.8,-1,-1,0.31,-1,-1,-1,-1,-1,0.55,-1,0.24,-1,-0.14,-0.1,-1,0.88,-1,0.72,-1,-1,0.22,-1,-1,0.19,-0.04,-1,-1,-1,-1,-1,0.62,0.22,-1,4,"{""type"":""Point"",""coordinates"":[81.81461840515138,7.326230168409869]}"
LC08_140055_20130519_4,0.32,0.78,-1,-1,0.5,0.25,0.25,0.22,0.23,0.42,-1,-1,0.87,-1,-1,0.53,-1,0.25,-0.15,-1,-1,0.82,0.86,-1,0.49,-1,-1,0.17,0.17,0.22,-1,0.34,0.68,-1,0.88,0.77,0.54,0.27,0.31,0.28,-1,-0.02,-1,-1,0.78,0.86,0.85,-1,0.47,0.23,-1,-1,0.22,-1,0.05,0.07,-1,0.88,-1,0.63,-1,-1,-1,0.1,0.34,0.63,-1,0.85,-1,-1,0.28,0.21,0.18,0.19,0.26,-1,0.83,0.84,-1,-1,0.29,-1,-1,-1,0.25,-1,-1,-1,0.76,0.66,-1,0.31,-1,0.22,-1,-1,-1,-1,0.85,0.85,-1,0.26,-1,-1,0.31,-1,-1,0.84,-1,-1,0.43,0.3,0.31,-1,-1,0.05,-1,0.86,0.86,0.72,-1,-1,0.21,0.15,-1,0.68,0.83,0.87,0.87,0.76,-1,-1,0.28,-1,0.75,-1,-1,-1,-1,-1,0.22,-1,-1,0.19,-1,0.81,-1,-1,-1,-1,0.24,-1,0.2,0.18,-0.01,-1,-1,0.87,-1,-1,0.47,0.26,-1,5,"{""type"":""Point"",""coordinates"":[81.82500391845704,7.317802220612027]}"
LC08_140055_20130519_6,0.49,0.79,-1,-1,0.47,0.24,-1,0.2,0.21,0.21,-1,-1,0.88,-1,-1,-1,0.37,0.22,0.07,-1,-1,0.83,0.85,-1,0.52,-1,-1,0.2,0.18,0.19,-1,0.3,0.74,-1,-1,-1,0.63,0.35,0.26,-1,-1,-0.15,-1,-1,0.81,0.85,0.87,-1,0.47,0.23,0.23,-1,0.2,-1,0.15,-1,-1,-1,-1,-1,0.32,-1,0.23,0.15,0.46,0.76,-1,0.84,-1,0.46,0.28,0.22,0.21,0.19,-1,-1,-1,0.88,-1,-1,0.3,-1,-1,0.11,-0.03,-1,-1,-1,-1,0.71,-1,0.24,0.17,0.2,-1,-1,-1,-1,0.87,-1,-1,0.54,-1,0.3,0.2,-1,-1,0.85,-1,-1,0.31,0.21,0.29,-1,0.26,-1,-1,-1,-1,0.59,-1,-1,0.22,0.18,-1,0.54,0.78,0.83,0.88,-1,-1,-1,0.26,-1,0.34,-1,-1,-1,0.57,-1,0.23,-1,-1,0.19,-1,0.88,-1,-1,-1,-1,0.21,-1,0.18,-1,0.17,-1,-1,-1,-1,-1,-1,-1,0.22,6,"{""type"":""Point"",""coordinates"":[81.8365052307129,7.319079192637587]}"
LC08_140055_20130519_7,0.43,0.69,-1,-1,0.53,0.28,-1,0.24,0.24,0.44,-1,-1,0.83,-1,-1,0.6,-1,0.23,0.25,-1,-1,0.64,0.66,-1,0.55,-1,-1,0.44,0.23,0.32,-1,0.36,0.62,0.88,0.6,-1,0.61,0.28,0.36,-1,0.35,0.01,-1,-1,0.78,0.85,0.83,-1,0.45,0.2,-1,-1,0.5,-1,0.19,0.25,-1,-1,-1,-1,-1,-1,0.27,-0.01,0.4,0.64,-1,0.82,-1,0.49,0.29,0.19,0.3,0.33,-1,0.25,0.54,0.82,0.85,-1,-1,-1,-1,0.24,0.34,-1,-1,-1,0.57,0.57,-1,0.27,0.29,0.37,-1,-1,-1,-1,-1,-1,-1,0.38,-1,0.3,0.41,-1,-1,0.42,-1,-1,0.28,0.27,0.28,-1,0.21,-1,-1,-1,0.85,0.69,-1,-1,-1,0.31,-1,0.25,0.71,0.63,0.86,-1,-1,-1,0.29,-1,0.32,-1,0.88,-1,0.59,0.22,0.25,-1,0.06,0.17,-1,0.8,-1,0.76,-1,-1,-1,-1,0.26,-1,0.2,-1,-1,-1,-1,-1,-1,0.26,-1,8,"{""type"":""Point"",""coordinates"":[81.83556109313966,7.32648555828019]}"
LC08_140055_20130519_8,0.55,0.83,-1,-1,0.52,0.25,-1,0.24,0.25,0.47,-1,-1,0.88,-1,-1,0.65,-1,0.12,0.09,-1,-1,0.84,0.84,-1,0.55,-1,-1,0.18,0.17,0.24,-1,0.33,-1,-1,0.89,0.86,0.64,-1,-1,-1,-1,0.05,-1,-1,0.83,0.88,0.85,-1,0.48,0.16,-1,-1,-1,-1,0.14,-0.03,-1,0.77,-1,0.69,-1,-1,-1,-0.03,0.22,0.63,-1,0.85,-1,0.53,0.27,0.26,0.21,0.21,-1,-1,-1,0.9,-1,-1,0.26,-1,-1,-1,0.01,-1,-1,-1,0.75,0.56,-1,0.31,-1,0.28,-1,-1,-1,-1,0.87,0.86,-1,-1,-1,-1,0.43,0.55,-1,0.63,-1,-1,0.47,0.38,0.35,-1,-1,0.08,-1,-1,-1,0.73,-1,-1,0.09,-0.01,-1,0.79,0.86,0.87,0.88,0.72,-1,-1,0.27,-1,-1,-1,-1,-1,-1,-1,0.27,-1,0.01,-1,-1,0.86,-1,0.7,-1,-1,0.23,-1,0.23,-1,-0.12,-1,-1,0.92,-1,-1,0.54,-1,0.28,9,"{""type"":""Point"",""coordinates"":[81.82062655334474,7.3183130098608755]}"
LC08_140055_20130519_9,0.4,0.81,-1,-1,0.47,0.25,0.34,0.21,0.22,0.29,-1,-1,0.86,-1,-1,0.58,-1,0.21,0.16,-1,-1,0.85,0.85,-1,0.48,-1,-1,0.18,0.17,0.24,-1,0.96,-1,-1,0.87,0.84,0.59,-1,0.31,-1,-1,-0.05,-1,-1,0.82,0.86,-1,-1,0.46,-1,-1,-1,0.31,-1,0.1,0.24,-1,-1,-1,-1,-1,-1,-1,-0.05,0.51,0.73,-1,0.84,-1,0.51,0.29,0.21,0.23,0.26,0.11,-1,0.86,0.85,0.84,-1,0.37,-1,-1,0.1,0.34,-1,-1,-1,0.73,0.61,-1,0.29,-1,0.22,-1,-1,-1,-1,0.86,-1,-1,0.27,0.25,-1,0.04,-1,-1,0.86,-1,-1,0.28,0.18,0.27,-1,-1,-1,-1,-1,-1,0.65,-1,-1,-1,0.03,-1,0.66,0.82,0.83,0.85,-1,-1,-1,0.2,-1,0.63,-1,0.9,-1,0.46,-1,0.23,-1,0.09,0.19,-1,0.84,-1,0.69,-1,-1,-1,-1,0.23,0.22,0.2,-1,-1,0.89,-1,-1,-1,0.26,-1,10,"{""type"":""Point"",""coordinates"":[81.82388811950685,7.3304015179607065]}"
LC08_140055_20130519_10,0.24,0.64,0.48,0.85,0.8,0.5,0.32,0.25,0.22,0.29,-1,-1,0.51,-1,-1,-1,-1,-1,-0.04,-1,-1,0.87,0.84,-1,0.69,-1,-1,0.29,0.21,-1,-1,0.21,-1,-1,0.81,0.83,0.73,-1,-1,-1,-1,0.02,-1,-1,0.82,0.86,0.86,-1,0.45,0.16,0.23,-1,-1,-1,-0.01,-1,-1,-1,-1,-1,-1,-1,0.26,0.22,0.24,0.66,-1,-1,-1,0.53,0.28,0.26,-1,-1,-1,0.2,-1,0.81,-1,-1,-1,-1,-1,0.23,0.16,-1,-1,-1,0.84,0.81,-1,0.31,0.36,0.27,-1,-1,0.7,-1,0.84,-1,-1,-1,-1,0.46,0.18,0.81,0.82,0.85,-1,-1,0.26,0.25,-1,-1,-1,-1,-1,0.91,-1,0.48,-1,-1,-1,0.21,-1,0.27,0.81,0.84,0.9,-1,-1,-1,0.27,-1,0.21,-1,-1,-1,-1,-1,0.2,-1,-1,-1,-1,0.89,-1,0.59,-1,-1,0.24,-1,0.23,0.22,0.23,-1,-1,-1,-1,-1,0.58,-1,-1,11,"{""type"":""Point"",""coordinates"":[81.7958383871435,7.336713562405545]}"
