system:index,LC08_141055_20130526,LC08_141055_20130611,LC08_141055_20130627,LC08_141055_20130713,LC08_141055_20130729,LC08_141055_20130814,LC08_141055_20130830,LC08_141055_20131001,LC08_141055_20131017,LC08_141055_20131102,LC08_141055_20131118,LC08_141055_20131204,LC08_141055_20131220,LC08_141055_20140105,LC08_141055_20140121,LC08_141055_20140206,LC08_141055_20140222,LC08_141055_20140310,LC08_141055_20140326,LC08_141055_20140411,LC08_141055_20140427,LC08_141055_20140513,LC08_141055_20140529,LC08_141055_20140614,LC08_141055_20140630,LC08_141055_20140716,LC08_141055_20140801,LC08_141055_20140817,LC08_141055_20140902,LC08_141055_20140918,LC08_141055_20141004,LC08_141055_20141020,LC08_141055_20141105,LC08_141055_20141121,LC08_141055_20141207,LC08_141055_20150108,LC08_141055_20150124,LC08_141055_20150209,LC08_141055_20150225,LC08_141055_20150313,LC08_141055_20150329,LC08_141055_20150414,LC08_141055_20150430,LC08_141055_20150516,LC08_141055_20150601,LC08_141055_20150617,LC08_141055_20150703,LC08_141055_20150719,LC08_141055_20150804,LC08_141055_20150820,LC08_141055_20150905,LC08_141055_20150921,LC08_141055_20151007,LC08_141055_20151023,LC08_141055_20151108,LC08_141055_20151124,LC08_141055_20151226,LC08_141055_20160111,LC08_141055_20160127,LC08_141055_20160212,LC08_141055_20160228,LC08_141055_20160315,LC08_141055_20160331,LC08_141055_20160416,LC08_141055_20160502,LC08_141055_20160518,LC08_141055_20160603,LC08_141055_20160619,LC08_141055_20160705,LC08_141055_20160721,LC08_141055_20160806,LC08_141055_20160822,LC08_141055_20160907,LC08_141055_20160923,LC08_141055_20161009,LC08_141055_20161025,LC08_141055_20161110,LC08_141055_20161126,LC08_141055_20161212,LC08_141055_20161228,LC08_141055_20170113,LC08_141055_20170129,LC08_141055_20170214,LC08_141055_20170302,LC08_141055_20170318,LC08_141055_20170403,LC08_141055_20170419,LC08_141055_20170505,LC08_141055_20170521,LC08_141055_20170606,LC08_141055_20170622,LC08_141055_20170708,LC08_141055_20170724,LC08_141055_20170809,LC08_141055_20170825,LC08_141055_20170910,LC08_141055_20170926,LC08_141055_20171012,LC08_141055_20171028,LC08_141055_20171113,LC08_141055_20171215,LC08_141055_20171231,LC08_141055_20180116,LC08_141055_20180201,LC08_141055_20180217,LC08_141055_20180305,LC08_141055_20180321,LC08_141055_20180406,LC08_141055_20180422,LC08_141055_20180508,LC08_141055_20180524,LC08_141055_20180609,LC08_141055_20180625,LC08_141055_20180711,LC08_141055_20180727,LC08_141055_20180812,LC08_141055_20180828,LC08_141055_20180913,LC08_141055_20180929,LC08_141055_20181015,LC08_141055_20181031,LC08_141055_20181116,LC08_141055_20181202,LC08_141055_20181218,LC08_141055_20190103,LC08_141055_20190119,LC08_141055_20190220,LC08_141055_20190308,LC08_141055_20190324,LC08_141055_20190409,LC08_141055_20190425,LC08_141055_20190511,LC08_141055_20190527,LC08_141055_20190612,LC08_141055_20190628,LC08_141055_20190714,LC08_141055_20190730,LC08_141055_20190815,LC08_141055_20190831,LC08_141055_20191002,LC08_141055_20191018,LC08_141055_20191103,LC08_141055_20191119,LC08_141055_20200106,LC08_141055_20200207,LC08_141055_20200223,LC08_141055_20200310,LC08_141055_20200326,LC08_141055_20200411,LC08_141055_20200427,LC08_141055_20200513,LC08_141055_20200529,LC08_141055_20200614,LC08_141055_20200630,LC08_141055_20200716,LC08_141055_20200801,LC08_141055_20200817,LC08_141055_20200902,LC08_141055_20200918,LC08_141055_20201004,LC08_141055_20201020,LC08_141055_20201121,LC08_141055_20201207,LC08_141055_20201223,LC08_141055_20210108,LC08_141055_20210124,LC08_141055_20210209,LC08_141055_20210225,LC08_141055_20210313,LC08_141055_20210329,water_id,.geo
LC08_141055_20130526_0,-1.00,-1.00,-0.06,0.11,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.62,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.03,-0.23,-1.00,0.14,0.27,0.48,0.55,0.46,-1.00,0.54,-1.00,0.55,0.55,-1.00,-1.00,-1.00,-0.56,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.04,-1.00,-0.02,-0.08,0.05,-0.02,-1.00,0.03,-0.55,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.13,-1.00,-0.06,0.16,-0.32,-1.00,0.01,-1.00,0.29,0.08,-1.00,-0.31,0.04,-1.00,-1.00,-0.03,-0.06,-1.00,-1.00,0.23,-1.00,0.40,-1.00,-1.00,-1.00,-0.09,-0.50,-0.04,-1.00,-1.00,-1.00,0.36,0.37,-1.00,-1.00,0.43,-1.00,-1.00,-1.00,-1.00,0.46,-1.00,0.41,-1.00,-1.00,-1.00,0.37,0.39,0.37,0.38,0.44,0.46,-1.00,0.39,-1.00,0.37,0.36,0.38,0.36,0.38,0.46,-1.00,-0.24,-0.28,0.00,-1.00,0.02,-1.00,-0.37,-0.21,-0.47,-0.11,0.19,0.33,-1.00,0.45,0.42,0.44,-1.00,0.44,0.44,0.49,-1.00,-1.00,-1.00,-1.00,-1.00,-0.31,-1.00,-0.01,-1.00,-1.00,0.02,-0.04,-1.00,0.43,-1.00,-0.07,-1.00,-1.00,-1.00,-0.10,-1.00,0.23,-1.00,-1.00,-1.00,-1.00,-0.40,-1.00,-0.45,001,"{""type"":""Point"",""coordinates"":[81.49095087890626,7.200901316202933]}"
LC08_141055_20130526_1,-1.00,-1.00,-0.11,0.18,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.01,-1.00,-1.00,-0.14,-1.00,0.03,0.09,-1.00,0.05,0.15,-0.25,0.04,0.03,-1.00,-1.00,-1.00,-0.37,-0.26,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.18,-1.00,-1.00,-1.00,-1.00,-1.00,0.05,-1.00,-0.07,-0.06,-1.00,-0.01,-1.00,0.10,-0.10,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.07,-0.07,-0.10,0.17,-0.28,-1.00,0.13,-1.00,-1.00,0.08,-1.00,-0.01,0.17,-1.00,-1.00,0.00,0.03,-1.00,-1.00,-0.19,-1.00,0.04,-1.00,-1.00,-1.00,-0.20,-0.37,0.07,-1.00,-1.00,-1.00,-0.11,0.17,-1.00,-1.00,-0.10,-1.00,-1.00,-1.00,-1.00,-0.49,-1.00,-1.00,-1.00,-1.00,-1.00,-0.06,-0.31,-0.63,0.25,-0.02,0.17,0.05,0.19,-1.00,-0.01,-1.00,0.11,-0.21,-0.45,-0.42,-1.00,-0.34,-1.00,0.16,-1.00,-0.07,-1.00,-0.33,-0.16,-0.29,-0.12,0.03,0.10,-1.00,0.16,0.26,0.32,-1.00,0.63,-1.00,-0.60,-1.00,-1.00,-0.39,-1.00,-1.00,-0.29,-1.00,0.03,-1.00,-1.00,-0.00,-0.03,-1.00,0.26,-1.00,-0.08,-1.00,-1.00,-1.00,0.03,-1.00,-0.39,-1.00,-1.00,-1.00,-1.00,-0.31,-0.14,-0.34,002,"{""type"":""Point"",""coordinates"":[81.48580103759767,7.183870252927782]}"
LC08_141055_20130526_2,0.10,0.13,-0.06,0.20,-1.00,-1.00,0.12,-1.00,-1.00,-1.00,-0.29,-1.00,-1.00,-1.00,-0.09,-1.00,-1.00,-1.00,-1.00,0.04,-0.02,-1.00,0.14,0.12,-0.37,0.18,0.22,-1.00,0.31,0.35,0.49,0.40,-1.00,-1.00,-1.00,-0.47,-1.00,-1.00,-0.13,-1.00,-0.05,-0.41,0.03,-1.00,0.07,-1.00,-0.00,-0.09,-1.00,-0.15,-1.00,0.08,0.00,-1.00,-1.00,-0.21,-1.00,-0.17,-1.00,0.07,-1.00,-0.01,0.16,-1.00,-1.00,-0.00,-1.00,0.31,0.07,-1.00,-0.09,0.21,-1.00,-1.00,-0.02,0.05,-1.00,-1.00,-0.57,-1.00,-0.16,-1.00,-1.00,-1.00,-0.13,-0.38,0.01,-1.00,-1.00,-1.00,-0.33,0.26,-1.00,-1.00,0.63,-1.00,-1.00,0.69,0.71,-1.00,-1.00,-0.52,-1.00,-1.00,-1.00,0.30,-0.18,-0.44,0.10,-0.21,-0.04,-1.00,0.23,-1.00,0.21,0.31,0.51,0.53,-1.00,0.51,-1.00,-0.19,-1.00,0.06,-1.00,-1.00,-1.00,-0.10,-0.16,-1.00,-0.16,-1.00,-0.09,-1.00,0.18,0.40,0.51,0.38,0.65,-1.00,0.65,-1.00,-1.00,-1.00,-1.00,-1.00,-0.33,-1.00,-1.00,-0.04,-1.00,-0.08,-0.06,-1.00,0.33,-1.00,-0.22,-1.00,-1.00,-1.00,-0.00,-1.00,-0.55,-1.00,-1.00,-0.18,-1.00,-0.33,-1.00,-0.01,003,"{""type"":""Point"",""coordinates"":[81.46245509033204,7.202263773654129]}"
LC08_141055_20130526_3,-1.00,0.18,-0.05,0.21,-1.00,0.31,-1.00,-0.03,-1.00,-1.00,-0.00,-1.00,-1.00,-1.00,-0.11,-1.00,-1.00,-0.08,-1.00,0.10,-0.22,-1.00,0.06,0.11,-0.14,0.05,0.18,-1.00,0.49,0.44,-1.00,0.48,-1.00,-1.00,-1.00,-0.32,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.04,-1.00,0.04,-0.03,-1.00,-0.01,-1.00,-1.00,-0.05,0.26,-1.00,-0.36,0.07,-0.09,0.07,-0.03,0.06,-0.01,0.18,-0.71,-1.00,-1.00,-1.00,-1.00,0.11,-1.00,-0.03,-1.00,-1.00,-1.00,-0.62,0.16,-1.00,-1.00,-0.26,-1.00,0.06,-1.00,-1.00,-1.00,-0.18,-0.28,0.12,-1.00,-1.00,-1.00,-0.10,-0.02,-1.00,-1.00,0.44,0.60,-1.00,0.57,0.24,-0.31,-1.00,-0.22,-1.00,-1.00,-1.00,-0.16,-0.28,-0.40,0.26,-1.00,0.11,0.23,0.14,-1.00,0.17,-1.00,0.54,0.58,0.74,0.80,-1.00,-0.10,-0.18,0.25,-0.09,0.08,0.03,-0.14,-0.01,-0.01,0.06,0.08,0.17,-1.00,0.29,0.48,0.64,-1.00,0.70,-1.00,-1.00,-1.00,-1.00,-0.16,-1.00,-1.00,-0.28,-1.00,0.02,-1.00,-1.00,-0.02,-0.07,-1.00,0.27,-1.00,-0.25,-1.00,-1.00,-1.00,-0.43,-1.00,-0.61,-1.00,-1.00,0.02,0.02,-0.26,-0.04,-0.37,004,"{""type"":""Point"",""coordinates"":[81.47309809570314,7.164794704562908]}"
LC08_141055_20130526_4,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.59,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.05,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.10,-1.00,-1.00,0.14,-1.00,-1.00,-1.00,-1.00,0.26,-1.00,-1.00,-0.17,0.13,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.21,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.22,-1.00,-1.00,-1.00,0.01,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.10,-0.28,-1.00,-1.00,-1.00,-1.00,0.01,0.22,-1.00,-0.02,-1.00,0.07,-0.21,-0.06,-1.00,-1.00,-1.00,-1.00,-0.06,-1.00,0.11,-0.10,-0.28,-0.18,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.05,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.35,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.03,-1.00,-1.00,-1.00,-1.00,-0.09,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.30,-1.00,-1.00,005,"{""type"":""Point"",""coordinates"":[81.51189356689454,7.204307452154147]}"
LC08_141055_20130526_5,0.12,-1.00,-1.00,-1.00,0.18,0.15,0.22,-1.00,0.26,0.67,0.11,-1.00,-1.00,-1.00,-0.05,0.08,0.09,0.01,-1.00,0.09,-1.00,-1.00,0.30,0.20,-0.03,0.07,-1.00,-1.00,-0.02,-1.00,-1.00,0.03,-1.00,-1.00,-1.00,-0.08,-1.00,-1.00,0.03,-1.00,0.01,-0.23,-1.00,-1.00,-1.00,-1.00,0.01,0.03,-1.00,-0.02,-1.00,0.05,-1.00,0.42,0.34,0.00,-1.00,-1.00,0.17,0.04,0.10,0.36,0.07,0.06,0.32,-1.00,-1.00,-1.00,-1.00,-1.00,0.02,0.10,0.17,-1.00,-0.03,0.12,0.13,-1.00,-1.00,-1.00,0.16,-1.00,-1.00,-1.00,0.08,-0.13,0.15,-1.00,-1.00,-1.00,-0.01,0.19,-1.00,-1.00,0.04,-1.00,-1.00,0.11,-0.05,0.12,-0.55,-1.00,-1.00,-0.17,-0.02,0.02,-0.15,-1.00,0.39,-0.18,0.28,-1.00,0.24,-1.00,0.17,-1.00,0.17,0.06,-1.00,-0.36,-1.00,0.42,-0.15,0.39,-1.00,-1.00,-1.00,-0.19,-0.14,-0.07,0.71,0.18,0.29,0.18,0.11,0.19,0.13,-1.00,-1.00,-1.00,0.00,-1.00,-1.00,-0.13,-1.00,-1.00,-0.03,0.19,0.01,-0.28,-1.00,0.23,0.01,-1.00,-1.00,-1.00,0.00,-1.00,-1.00,0.20,0.01,-1.00,0.26,-1.00,-1.00,0.13,-1.00,-0.03,0.02,-0.03,006,"{""type"":""Point"",""coordinates"":[80.9107354248047,7.1988576223512535]}"
LC08_141055_20130526_6,0.09,-1.00,-0.02,-1.00,-1.00,0.30,0.14,0.00,-1.00,-0.12,0.08,-1.00,-1.00,-1.00,-1.00,-0.04,0.09,-0.07,-1.00,0.14,0.09,-1.00,0.10,0.18,-0.06,0.07,-1.00,-1.00,-0.03,-1.00,-0.38,0.13,-1.00,-1.00,-1.00,-0.04,-0.35,-1.00,-0.25,-1.00,-0.43,-0.58,-1.00,-1.00,-0.14,-1.00,0.01,0.04,0.11,-0.13,0.26,-1.00,0.09,-1.00,0.07,-0.79,-1.00,-1.00,0.05,-1.00,-0.15,-0.41,-0.14,0.07,0.34,-0.07,-1.00,-1.00,0.33,0.39,-0.01,0.10,-1.00,0.16,-0.11,0.09,-1.00,-1.00,0.28,-1.00,0.24,-1.00,-1.00,-1.00,-0.47,-0.13,0.13,-1.00,-1.00,-1.00,-0.01,0.17,-1.00,0.39,0.05,0.06,-1.00,0.06,-0.58,-0.41,-1.00,-1.00,-1.00,-1.00,-0.10,-0.06,-0.25,-1.00,-0.24,-0.74,-0.05,-1.00,0.24,-1.00,-1.00,-1.00,-1.00,0.06,-1.00,-0.36,-1.00,-0.02,-0.53,0.30,-1.00,-1.00,-1.00,-0.26,-0.12,0.03,-0.03,0.21,0.25,-1.00,0.08,0.35,0.18,-1.00,-1.00,-1.00,-0.60,-1.00,-1.00,-0.46,-1.00,-1.00,-0.24,-1.00,-1.00,-0.36,-1.00,0.20,0.04,-1.00,-1.00,-1.00,-0.01,-1.00,-1.00,-1.00,0.02,-1.00,-1.00,-1.00,-1.00,-0.04,-1.00,-0.32,-0.13,-0.34,007,"{""type"":""Point"",""coordinates"":[81.0319283569336,7.211119647258002]}"
LC08_141055_20130526_7,0.13,-1.00,0.13,-1.00,-1.00,-1.00,0.24,-1.00,0.30,0.30,0.16,-1.00,-1.00,-1.00,0.02,0.14,0.22,0.02,-1.00,0.13,-1.00,-1.00,0.25,0.20,-0.05,0.07,-1.00,-1.00,-0.03,-1.00,-1.00,-0.16,-1.00,-1.00,-1.00,0.01,-1.00,-1.00,0.11,-1.00,0.00,-0.22,0.27,-1.00,0.02,-1.00,-0.00,-1.00,-1.00,-0.29,-1.00,0.17,0.05,0.44,0.39,0.16,-1.00,-1.00,0.23,0.09,0.16,0.31,0.29,0.39,0.10,-1.00,-1.00,-1.00,-1.00,-1.00,0.06,0.10,0.19,-1.00,-0.03,0.11,0.11,-1.00,0.14,-1.00,0.21,-1.00,-1.00,-1.00,0.05,-0.06,0.15,-1.00,-1.00,-1.00,-0.03,0.23,-1.00,-1.00,-1.00,-1.00,-1.00,0.10,-0.04,0.03,-0.42,-1.00,-1.00,-1.00,0.03,-0.02,-0.02,-1.00,0.42,-0.30,0.28,-1.00,0.26,-1.00,0.19,-1.00,0.21,0.05,-1.00,-0.39,-1.00,0.66,-0.18,0.19,-1.00,-1.00,-0.05,-0.15,-0.08,0.00,0.33,0.11,0.22,0.17,0.12,-1.00,0.16,-1.00,-1.00,-1.00,-0.38,-1.00,-1.00,-1.00,-1.00,-1.00,-0.26,0.17,0.05,-0.23,-1.00,0.14,-1.00,-1.00,-1.00,-1.00,-0.01,-1.00,-1.00,0.16,0.02,-1.00,-1.00,-1.00,-1.00,0.26,-1.00,0.07,0.07,0.01,008,"{""type"":""Point"",""coordinates"":[80.88532954101565,7.179442071893607]}"
LC08_141055_20130526_8,0.13,-1.00,0.01,0.13,-1.00,-1.00,0.02,0.00,0.12,-1.00,-0.12,-1.00,-1.00,0.03,-0.04,-0.05,0.07,0.18,0.01,0.08,-1.00,-1.00,-1.00,-1.00,-0.08,0.08,-1.00,-1.00,-1.00,-1.00,-1.00,-0.17,-1.00,-1.00,-1.00,0.14,-1.00,-1.00,0.02,-1.00,-0.04,-0.35,-1.00,-1.00,-0.03,-1.00,0.04,-1.00,-1.00,-1.00,-1.00,0.30,-0.05,-1.00,-1.00,0.10,0.23,-0.15,0.31,0.06,-0.23,0.16,-0.19,-0.41,-0.36,-1.00,-1.00,-1.00,0.19,-1.00,0.17,0.03,0.12,-1.00,-0.06,-0.01,0.15,-1.00,0.13,0.23,-1.00,-0.38,-1.00,0.30,-1.00,-0.33,0.14,0.09,-1.00,-1.00,0.03,-1.00,0.16,-1.00,0.06,0.01,-1.00,-1.00,0.10,0.11,-1.00,-1.00,-1.00,-0.36,0.12,-0.01,0.16,-1.00,0.29,-0.02,-1.00,-0.04,0.15,-1.00,-1.00,-1.00,0.27,-1.00,-1.00,-1.00,-1.00,0.20,-0.42,-1.00,0.07,-1.00,-0.04,-0.33,-0.13,-0.11,-1.00,-1.00,-1.00,-1.00,0.25,0.14,0.21,-1.00,-1.00,-1.00,-0.03,-1.00,-1.00,-0.49,-1.00,0.14,-0.10,-1.00,0.03,-0.27,-1.00,-1.00,-1.00,-1.00,0.28,-1.00,0.03,-1.00,-1.00,0.16,-1.00,-1.00,0.00,-1.00,-1.00,-1.00,0.33,-0.06,0.03,-1.00,009,"{""type"":""Point"",""coordinates"":[80.77992945556642,6.684071570494115]}"
LC08_141055_20130526_9,-1.00,-1.00,-0.41,-1.00,0.08,-1.00,0.03,-1.00,-0.00,-1.00,-1.00,-1.00,-0.42,-1.00,-0.46,-0.18,-0.15,-0.23,-0.17,-0.12,-1.00,-0.23,-0.30,-1.00,-1.00,-0.04,0.01,-1.00,-0.29,-1.00,-1.00,-0.62,-1.00,-1.00,-1.00,-0.19,-0.44,-0.42,-0.45,-1.00,-0.36,-0.47,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.25,-1.00,-1.00,-1.00,-0.68,-0.42,-0.08,-0.24,-0.15,-0.24,-0.16,-0.53,-1.00,-0.24,-1.00,-0.18,-1.00,-1.00,-1.00,-0.20,-1.00,-0.07,-1.00,-0.40,-1.00,-0.15,-1.00,-0.04,-0.11,-0.06,-0.71,-0.76,0.14,-0.26,-0.28,-1.00,-1.00,-1.00,-1.00,-0.14,0.02,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.22,-0.13,-0.66,-0.19,-1.00,-0.55,-0.12,-1.00,-0.21,-1.00,-0.12,-1.00,-1.00,-0.16,-0.11,-1.00,-1.00,-1.00,0.00,-0.31,-1.00,-1.00,-1.00,-1.00,-0.44,-1.00,-0.34,-1.00,-1.00,-1.00,-0.36,-0.16,-0.10,-0.08,-0.42,-1.00,-0.12,-1.00,0.02,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-0.42,-1.00,-0.06,-1.00,-0.01,-0.29,-0.28,-1.00,-0.30,-1.00,-1.00,-1.00,-1.00,-0.05,-1.00,-1.00,0.04,-1.00,0.09,-1.00,-1.00,-1.00,-0.08,-0.24,-0.33,-0.37,-0.56,010,"{""type"":""Point"",""coordinates"":[79.90513157739095,6.771764423281718]}"
